117.21.176.75 -  -  [25/Aug/2015:01:12:03 +0000] "GET /manager/html HTTP/1.1" 404 1413 
5.28.178.141 -  -  [25/Aug/2015:04:49:03 +0000] "GET / HTTP/1.0" 302 0 
58.20.59.179 -  -  [25/Aug/2015:06:47:23 +0000] "GET http://www.sciencedirect.com/science/jrnlallbooks/a/fulltext HTTP/1.1" 404 1470 
192.187.110.98 -  -  [25/Aug/2015:07:34:45 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 404 1416 
61.160.221.75 -  -  [25/Aug/2015:08:17:54 +0000] "GET /manager/html HTTP/1.1" 404 1413 
127.0.0.1 -  -  [25/Aug/2015:14:19:36 +0000] "GET /openhab.app?sitemap=default HTTP/1.1" 200 9130 
127.0.0.1 -  -  [25/Aug/2015:14:19:37 +0000] "GET /images/conference.png HTTP/1.1" 404 1386 
127.0.0.1 -  -  [25/Aug/2015:14:19:38 +0000] "GET /images/conference.png HTTP/1.1" 404 1386 
127.0.0.1 -  -  [25/Aug/2015:14:19:38 +0000] "GET /%22http://localhost:8080/WebApp/Design/Img/loader-gray-100x12x2.png%22 HTTP/1.1" 404 1587 
127.0.0.1 -  -  [25/Aug/2015:14:19:45 +0000] "GET /openhab.app?sitemap=default&w=0000&__async=true&__source=waHome HTTP/1.1" 200 1770 
127.0.0.1 -  -  [25/Aug/2015:14:19:41 +0000] "GET /openhab.app?sitemap=default&poll=true&__async=true&__source=waHome HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:19:46 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:19:56 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:20:07 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:20:17 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:20:28 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:20:38 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:20:49 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:20:59 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:21:10 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
