Friday, 1, 0, 31, Indoor_Motion, Contact, OPEN
Friday, 1, 0, 32, Indoor_Motion, Contact, CLOSED
Friday, 1, 7, 19, Indoor_Motion, Contact, OPEN
Friday, 1, 7, 20, Indoor_Motion, Contact, CLOSED
Friday, 1, 53, 32, Indoor_Motion, Contact, OPEN
Friday, 1, 53, 33, Indoor_Motion, Contact, CLOSED
Friday, 2, 39, 37, Indoor_Motion, Contact, OPEN
Friday, 2, 39, 38, Indoor_Motion, Contact, CLOSED
Friday, 2, 47, 59, Outdoor_Motion, Contact, OPEN
Friday, 2, 48, 3, Outdoor_Motion, Contact, CLOSED
Friday, 3, 15, 35, Indoor_Motion, Contact, OPEN
Friday, 3, 15, 40, Indoor_Motion, Contact, CLOSED
Friday, 3, 38, 35, Indoor_Motion, Contact, OPEN
Friday, 3, 38, 39, Indoor_Motion, Contact, CLOSED
Friday, 4, 58, 53, Indoor_Motion, Contact, OPEN
Friday, 4, 58, 54, Indoor_Motion, Contact, CLOSED
Friday, 5, 0, 0, Indoor_Motion, Contact, OPEN
Friday, 5, 0, 1, Indoor_Motion, Contact, CLOSED
Friday, 5, 10, 5, Indoor_Motion, Contact, OPEN
Friday, 5, 10, 7, Indoor_Motion, Contact, CLOSED
Friday, 5, 59, 9, Indoor_Motion, Contact, OPEN
Friday, 5, 59, 13, Indoor_Motion, Contact, CLOSED
Friday, 6, 9, 46, Indoor_Motion, Contact, OPEN
Friday, 6, 9, 47, Indoor_Motion, Contact, CLOSED
Friday, 6, 26, 27, Indoor_Motion, Contact, OPEN
Friday, 6, 26, 32, Indoor_Motion, Contact, CLOSED
Friday, 7, 2, 50, Indoor_Motion, Contact, OPEN
Friday, 7, 2, 52, Indoor_Motion, Contact, CLOSED
Friday, 7, 7, 59, Indoor_Motion, Contact, OPEN
Friday, 7, 8, 0, Indoor_Motion, Contact, CLOSED
Friday, 7, 12, 3, Indoor_Motion, Contact, OPEN
Friday, 7, 12, 4, Indoor_Motion, Contact, CLOSED
Friday, 7, 12, 20, Indoor_Motion, Contact, OPEN
