Monday, 0, 42, 39, Indoor_Motion, Contact, OPEN
Monday, 0, 42, 41, Indoor_Motion, Contact, CLOSED
Monday, 0, 53, 44, Indoor_Motion, Contact, OPEN
Monday, 0, 53, 47, Indoor_Motion, Contact, CLOSED
Monday, 1, 34, 24, Indoor_Motion, Contact, OPEN
Monday, 1, 34, 27, Indoor_Motion, Contact, CLOSED
Monday, 3, 14, 41, Indoor_Motion, Contact, OPEN
Monday, 3, 14, 46, Indoor_Motion, Contact, CLOSED
Monday, 3, 33, 47, Indoor_Motion, Contact, OPEN
Monday, 3, 33, 50, Indoor_Motion, Contact, CLOSED
Monday, 4, 9, 54, Indoor_Motion, Contact, OPEN
Monday, 4, 9, 55, Indoor_Motion, Contact, CLOSED
Monday, 4, 18, 43, Outdoor_Motion, Contact, OPEN
Monday, 4, 18, 45, Outdoor_Motion, Contact, CLOSED
Monday, 4, 31, 11, Indoor_Motion, Contact, OPEN
Monday, 4, 31, 13, Indoor_Motion, Contact, CLOSED
Monday, 5, 15, 21, Indoor_Motion, Contact, OPEN
Monday, 5, 15, 25, Indoor_Motion, Contact, CLOSED
Monday, 5, 30, 38, Indoor_Motion, Contact, OPEN
Monday, 5, 30, 42, Indoor_Motion, Contact, CLOSED
Monday, 6, 1, 30, Indoor_Motion, Contact, OPEN
Monday, 6, 1, 32, Indoor_Motion, Contact, CLOSED
Monday, 6, 16, 8, Indoor_Motion, Contact, OPEN
Monday, 6, 16, 9, Indoor_Motion, Contact, CLOSED
Monday, 6, 53, 46, Indoor_Motion, Contact, OPEN
Monday, 6, 53, 48, Indoor_Motion, Contact, CLOSED
Monday, 7, 3, 36, Indoor_Motion, Contact, OPEN
Monday, 7, 3, 40, Indoor_Motion, Contact, CLOSED
Monday, 7, 4, 4, Indoor_Motion, Contact, OPEN
Monday, 7, 4, 7, Indoor_Motion, Contact, CLOSED
Monday, 7, 9, 20, Indoor_Motion, Contact, OPEN
Monday, 7, 9, 21, Indoor_Motion, Contact, CLOSED
Monday, 7, 9, 26, Indoor_Motion, Contact, OPEN
Monday, 7, 9, 27, Indoor_Motion, Contact, CLOSED
Monday, 7, 10, 20, Indoor_Motion, Contact, OPEN
Monday, 7, 10, 24, Indoor_Motion, Contact, CLOSED
Monday, 7, 13, 40, Indoor_Motion, Contact, OPEN
Monday, 7, 13, 42, Indoor_Motion, Contact, CLOSED
Monday, 7, 14, 10, Indoor_Motion, Contact, OPEN
Monday, 7, 14, 13, Indoor_Motion, Contact, CLOSED
Monday, 7, 20, 30, Indoor_Motion, Contact, OPEN
Monday, 7, 20, 35, Indoor_Motion, Contact, CLOSED
Monday, 7, 21, 40, Indoor_Motion, Contact, OPEN
Monday, 7, 21, 44, Indoor_Motion, Contact, CLOSED
Monday, 7, 21, 54, Indoor_Motion, Contact, OPEN
Monday, 7, 21, 57, Indoor_Motion, Contact, CLOSED
Monday, 7, 22, 19, Indoor_Motion, Contact, OPEN
Monday, 7, 22, 23, Indoor_Motion, Contact, CLOSED
Monday, 7, 23, 16, Indoor_Motion, Contact, OPEN
Monday, 7, 23, 20, Indoor_Motion, Contact, CLOSED
Monday, 7, 23, 35, Indoor_Motion, Contact, OPEN
Monday, 7, 23, 39, Indoor_Motion, Contact, CLOSED
Monday, 7, 23, 48, Indoor_Motion, Contact, OPEN
Monday, 7, 23, 52, Indoor_Motion, Contact, CLOSED
Monday, 7, 29, 11, Indoor_Motion, Contact, OPEN
Monday, 7, 29, 16, Indoor_Motion, Contact, CLOSED
Monday, 7, 29, 24, Indoor_Motion, Contact, OPEN
Monday, 7, 29, 28, Indoor_Motion, Contact, CLOSED
Monday, 7, 30, 11, Indoor_Motion, Contact, OPEN
Monday, 7, 30, 15, Indoor_Motion, Contact, CLOSED
Monday, 7, 30, 38, Indoor_Motion, Contact, OPEN
Monday, 7, 30, 42, Indoor_Motion, Contact, CLOSED
Monday, 7, 31, 19, Indoor_Motion, Contact, OPEN
Monday, 7, 31, 24, Indoor_Motion, Contact, CLOSED
Monday, 7, 31, 29, Window, Contact, OPEN
Monday, 7, 32, 42, Back_Door, Contact, OPEN
Monday, 7, 32, 43, Indoor_Motion, Contact, OPEN
Monday, 7, 32, 44, Indoor_Motion, Contact, CLOSED
Monday, 7, 32, 46, Indoor_Motion, Contact, OPEN
Monday, 7, 32, 49, Indoor_Motion, Contact, CLOSED
Monday, 7, 32, 56, Indoor_Motion, Contact, OPEN
Monday, 7, 33, 1, Indoor_Motion, Contact, CLOSED
Monday, 7, 33, 8, Indoor_Motion, Contact, OPEN
Monday, 7, 33, 9, Indoor_Motion, Contact, CLOSED
