Monday, 0, 47, 20, Indoor_Motion, Contact, OPEN
Monday, 0, 47, 24, Indoor_Motion, Contact, CLOSED
Monday, 1, 16, 9, Indoor_Motion, Contact, OPEN
Monday, 1, 16, 12, Indoor_Motion, Contact, CLOSED
Monday, 1, 17, 27, Indoor_Motion, Contact, OPEN
Monday, 1, 17, 30, Indoor_Motion, Contact, CLOSED
Monday, 1, 52, 32, Outdoor_Motion, Contact, OPEN
Monday, 1, 52, 34, Outdoor_Motion, Contact, CLOSED
Monday, 3, 19, 14, Indoor_Motion, Contact, OPEN
Monday, 3, 19, 19, Indoor_Motion, Contact, CLOSED
Monday, 4, 6, 40, Indoor_Motion, Contact, OPEN
Monday, 4, 6, 45, Indoor_Motion, Contact, CLOSED
Monday, 4, 24, 12, Indoor_Motion, Contact, OPEN
Monday, 4, 24, 14, Indoor_Motion, Contact, CLOSED
Monday, 4, 27, 24, Indoor_Motion, Contact, OPEN
Monday, 4, 27, 26, Indoor_Motion, Contact, CLOSED
Monday, 4, 33, 1, Indoor_Motion, Contact, OPEN
Monday, 4, 33, 2, Indoor_Motion, Contact, CLOSED
Monday, 4, 56, 36, Indoor_Motion, Contact, OPEN
Monday, 4, 56, 41, Indoor_Motion, Contact, CLOSED
Monday, 5, 29, 34, Indoor_Motion, Contact, OPEN
Monday, 5, 29, 36, Indoor_Motion, Contact, CLOSED
Monday, 5, 35, 39, Outdoor_Motion, Contact, OPEN
Monday, 5, 35, 42, Outdoor_Motion, Contact, CLOSED
Monday, 5, 44, 59, Indoor_Motion, Contact, OPEN
Monday, 5, 45, 4, Indoor_Motion, Contact, CLOSED
Monday, 6, 14, 12, Indoor_Motion, Contact, OPEN
Monday, 6, 14, 14, Indoor_Motion, Contact, CLOSED
Monday, 6, 46, 50, Indoor_Motion, Contact, OPEN
Monday, 6, 46, 52, Indoor_Motion, Contact, CLOSED
Monday, 6, 49, 51, Indoor_Motion, Contact, OPEN
Monday, 6, 49, 56, Indoor_Motion, Contact, CLOSED
Monday, 7, 3, 9, Indoor_Motion, Contact, OPEN
Monday, 7, 3, 13, Indoor_Motion, Contact, CLOSED
Monday, 7, 3, 45, Indoor_Motion, Contact, OPEN
Monday, 7, 3, 47, Indoor_Motion, Contact, CLOSED
Monday, 7, 9, 30, Indoor_Motion, Contact, OPEN
Monday, 7, 9, 33, Indoor_Motion, Contact, CLOSED
Monday, 7, 9, 39, Indoor_Motion, Contact, OPEN
Monday, 7, 9, 44, Indoor_Motion, Contact, CLOSED
Monday, 7, 10, 39, Indoor_Motion, Contact, OPEN
Monday, 7, 10, 40, Indoor_Motion, Contact, CLOSED
Monday, 7, 10, 41, Indoor_Motion, Contact, OPEN
Monday, 7, 10, 43, Indoor_Motion, Contact, CLOSED
Monday, 7, 12, 42, Indoor_Motion, Contact, OPEN
Monday, 7, 12, 44, Indoor_Motion, Contact, CLOSED
Monday, 7, 13, 49, Indoor_Motion, Contact, OPEN
Monday, 7, 13, 51, Indoor_Motion, Contact, CLOSED
Monday, 7, 15, 21, Indoor_Motion, Contact, OPEN
Monday, 7, 15, 26, Indoor_Motion, Contact, CLOSED
Monday, 7, 18, 16, Indoor_Motion, Contact, OPEN
Monday, 7, 18, 17, Indoor_Motion, Contact, CLOSED
Monday, 7, 18, 20, Indoor_Motion, Contact, OPEN
Monday, 7, 18, 24, Indoor_Motion, Contact, CLOSED
Monday, 7, 19, 19, Indoor_Motion, Contact, OPEN
Monday, 7, 19, 24, Indoor_Motion, Contact, CLOSED
Monday, 7, 19, 31, Indoor_Motion, Contact, OPEN
Monday, 7, 19, 36, Indoor_Motion, Contact, CLOSED
Monday, 7, 21, 2, Indoor_Motion, Contact, OPEN
Monday, 7, 21, 5, Indoor_Motion, Contact, CLOSED
Monday, 7, 21, 36, Indoor_Motion, Contact, OPEN
Monday, 7, 21, 41, Indoor_Motion, Contact, CLOSED
Monday, 7, 21, 58, Indoor_Motion, Contact, OPEN
Monday, 7, 22, 1, Indoor_Motion, Contact, CLOSED
Monday, 7, 22, 30, Indoor_Motion, Contact, OPEN
Monday, 7, 22, 31, Indoor_Motion, Contact, CLOSED
Monday, 7, 22, 48, Indoor_Motion, Contact, OPEN
Monday, 7, 22, 52, Indoor_Motion, Contact, CLOSED
Monday, 7, 23, 51, Indoor_Motion, Contact, OPEN
Monday, 7, 23, 52, Indoor_Motion, Contact, CLOSED
Monday, 7, 26, 3, Indoor_Motion, Contact, OPEN
Monday, 7, 26, 8, Indoor_Motion, Contact, CLOSED
Monday, 7, 29, 41, Indoor_Motion, Contact, OPEN
Monday, 7, 29, 42, Indoor_Motion, Contact, CLOSED
Monday, 7, 30, 33, Indoor_Motion, Contact, OPEN
Monday, 7, 30, 34, Indoor_Motion, Contact, CLOSED
Monday, 7, 33, 59, Indoor_Motion, Contact, OPEN
Monday, 7, 34, 3, Indoor_Motion, Contact, CLOSED
Monday, 7, 35, 51, Indoor_Motion, Contact, OPEN
Monday, 7, 35, 52, Indoor_Motion, Contact, CLOSED
Monday, 7, 35, 54, Indoor_Motion, Contact, OPEN
Monday, 7, 35, 57, Indoor_Motion, Contact, CLOSED
Monday, 7, 36, 9, Indoor_Motion, Contact, OPEN
Monday, 7, 36, 13, Indoor_Motion, Contact, CLOSED
Monday, 7, 36, 51, Window, Contact, OPEN
Monday, 7, 38, 39, Back_Door, Contact, OPEN
Monday, 7, 38, 43, Indoor_Motion, Contact, OPEN
Monday, 7, 38, 48, Indoor_Motion, Contact, CLOSED
Monday, 7, 38, 57, Indoor_Motion, Contact, OPEN
Monday, 7, 38, 59, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 1, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 5, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 11, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 16, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 18, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 23, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 26, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 29, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 36, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 40, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 48, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 52, Indoor_Motion, Contact, CLOSED
Monday, 7, 39, 57, Indoor_Motion, Contact, OPEN
Monday, 7, 39, 58, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 7, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 11, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 17, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 19, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 20, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 21, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 22, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 27, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 35, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 40, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 42, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 43, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 48, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 52, Indoor_Motion, Contact, CLOSED
Monday, 7, 40, 53, Indoor_Motion, Contact, OPEN
Monday, 7, 40, 57, Indoor_Motion, Contact, CLOSED
Monday, 7, 41, 6, Indoor_Motion, Contact, OPEN
Monday, 7, 41, 10, Indoor_Motion, Contact, CLOSED
Monday, 7, 41, 15, Indoor_Motion, Contact, OPEN
Monday, 7, 41, 18, Indoor_Motion, Contact, CLOSED
Monday, 7, 41, 22, Indoor_Motion, Contact, OPEN
Monday, 7, 41, 27, Indoor_Motion, Contact, CLOSED
Monday, 7, 41, 28, Indoor_Motion, Contact, OPEN
Monday, 7, 41, 31, Indoor_Motion, Contact, CLOSED
Monday, 7, 41, 37, Indoor_Motion, Contact, OPEN
Monday, 7, 41, 41, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 0, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 2, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 4, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 8, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 21, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 25, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 28, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 32, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 36, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 38, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 39, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 40, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 45, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 49, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 53, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 55, Indoor_Motion, Contact, CLOSED
Monday, 7, 42, 57, Indoor_Motion, Contact, OPEN
Monday, 7, 42, 59, Indoor_Motion, Contact, CLOSED
Monday, 7, 43, 2, Indoor_Motion, Contact, OPEN
Monday, 7, 43, 5, Indoor_Motion, Contact, CLOSED
